Card 1,Card 2,Card 3,Card 4,Card 5,Hand
10 Clubs,King Clubs,5 Diamonds,8 Spades,10 Heart,One pair
2 Heart,Jack Heart,9 Diamonds,7 Heart,5 Diamonds,Nothing in hand
2 Spades,Ace Diamonds,Jack Spades,6 Spades,4 Clubs,Nothing in hand
10 Heart,Ace Clubs,4 Clubs,Queen Clubs,9 Heart,Nothing in hand
9 Clubs,King Diamonds,Ace Spades,9 Diamonds,Queen Clubs,One pair
Ace Clubs,Ace Diamonds,3 Heart,4 Clubs,Jack Spades,One pair
5 Heart,4 Clubs,King Spades,7 Diamonds,10 Clubs,Nothing in hand
10 Heart,7 Diamonds,3 Heart,6 Diamonds,8 Diamonds,Nothing in hand
2 Clubs,4 Diamonds,7 Clubs,9 Diamonds,Ace Spades,Nothing in hand
8 Clubs,9 Heart,4 Spades,Jack Heart,3 Spades,Nothing in hand
7 Spades,King Clubs,3 Spades,4 Diamonds,Ace Spades,Nothing in hand
Queen Clubs,3 Spades,7 Clubs,5 Spades,Ace Clubs,Nothing in hand
5 Spades,King Diamonds,Queen Diamonds,7 Diamonds,King Heart,One pair
8 Clubs,2 Diamonds,8 Spades,9 Spades,Jack Diamonds,One pair
8 Heart,Queen Heart,9 Spades,6 Spades,2 Diamonds,Nothing in hand
5 Heart,King Diamonds,King Spades,7 Spades,5 Clubs,Two pairs
7 Clubs,10 Clubs,Ace Diamonds,3 Diamonds,5 Spades,Nothing in hand
King Diamonds,2 Spades,10 Clubs,3 Diamonds,King Spades,One pair
5 Heart,7 Diamonds,3 Heart,6 Heart,8 Spades,Nothing in hand
2 Heart,3 Clubs,8 Spades,Jack Clubs,King Clubs,Nothing in hand
Ace Spades,4 Heart,Ace Clubs,Jack Clubs,7 Diamonds,One pair
4 Heart,Ace Clubs,Queen Clubs,3 Spades,King Clubs,Nothing in hand
9 Heart,Ace Clubs,7 Clubs,4 Clubs,2 Diamonds,Nothing in hand
3 Clubs,Ace Diamonds,6 Heart,5 Heart,10 Spades,Nothing in hand
9 Spades,2 Clubs,3 Diamonds,6 Spades,9 Diamonds,One pair
Ace Diamonds,5 Heart,8 Clubs,10 Diamonds,5 Diamonds,One pair
7 Clubs,5 Clubs,9 Spades,8 Diamonds,5 Heart,One pair
King Clubs,Jack Heart,4 Clubs,5 Diamonds,Ace Clubs,Nothing in hand
King Clubs,8 Diamonds,Ace Heart,6 Clubs,King Heart,One pair
8 Clubs,4 Clubs,2 Clubs,Ace Clubs,7 Clubs,Flush
3 Spades,10 Clubs,5 Diamonds,King Diamonds,3 Clubs,One pair
4 Heart,King Spades,Ace Diamonds,4 Clubs,Ace Clubs,Two pairs
2 Diamonds,10 Clubs,6 Spades,Queen Heart,10 Diamonds,One pair
Jack Spades,9 Diamonds,Jack Heart,8 Clubs,8 Diamonds,Two pairs
4 Spades,4 Heart,5 Spades,8 Heart,King Heart,One pair
King Spades,9 Heart,2 Heart,4 Heart,4 Clubs,One pair
2 Clubs,10 Diamonds,Queen Heart,7 Diamonds,8 Clubs,Nothing in hand
6 Spades,King Heart,5 Clubs,2 Spades,9 Clubs,Nothing in hand
Queen Heart,5 Clubs,King Clubs,Jack Diamonds,10 Diamonds,Nothing in hand
7 Spades,3 Spades,King Diamonds,Jack Diamonds,4 Heart,Nothing in hand
10 Spades,Jack Spades,5 Spades,6 Diamonds,4 Spades,Nothing in hand
Queen Spades,6 Clubs,9 Diamonds,Ace Clubs,Queen Clubs,One pair
8 Heart,10 Heart,King Spades,5 Diamonds,4 Heart,Nothing in hand
7 Spades,4 Heart,King Spades,2 Diamonds,Queen Clubs,Nothing in hand
7 Spades,Queen Clubs,Ace Clubs,King Clubs,Jack Diamonds,Nothing in hand
9 Heart,3 Diamonds,4 Clubs,10 Heart,Ace Spades,Nothing in hand
Ace Spades,Queen Diamonds,8 Diamonds,2 Heart,Ace Diamonds,One pair
9 Heart,10 Diamonds,8 Heart,4 Clubs,5 Heart,Nothing in hand
Ace Spades,8 Spades,6 Spades,Ace Diamonds,4 Diamonds,One pair
Jack Clubs,Queen Diamonds,4 Diamonds,Queen Clubs,7 Clubs,One pair
2 Diamonds,Queen Clubs,8 Diamonds,7 Spades,Jack Diamonds,Nothing in hand
Queen Diamonds,Queen Spades,8 Spades,Jack Diamonds,6 Heart,One pair
7 Diamonds,8 Heart,7 Heart,Queen Clubs,8 Spades,Two pairs
9 Heart,6 Clubs,9 Clubs,9 Spades,Ace Heart,Three of a kind
10 Diamonds,7 Heart,7 Clubs,6 Clubs,Jack Heart,One pair
10 Spades,4 Heart,Queen Diamonds,9 Clubs,9 Spades,One pair
Jack Spades,3 Spades,Ace Diamonds,9 Spades,2 Diamonds,Nothing in hand
King Heart,3 Heart,Queen Heart,Jack Clubs,Queen Spades,One pair
7 Spades,6 Heart,6 Diamonds,King Clubs,9 Clubs,One pair
Ace Spades,2 Diamonds,10 Spades,Ace Clubs,Queen Clubs,One pair
2 Spades,8 Spades,9 Clubs,Queen Diamonds,5 Clubs,Nothing in hand
9 Clubs,Jack Spades,7 Clubs,Queen Diamonds,4 Heart,Nothing in hand
6 Heart,9 Diamonds,8 Spades,2 Spades,9 Clubs,One pair
7 Heart,4 Clubs,Queen Clubs,7 Diamonds,2 Spades,One pair
10 Clubs,Ace Spades,Jack Clubs,Jack Diamonds,Jack Spades,Three of a kind
Queen Diamonds,Ace Heart,King Diamonds,Jack Clubs,7 Spades,Nothing in hand
5 Clubs,Jack Diamonds,7 Spades,8 Clubs,8 Diamonds,One pair
4 Diamonds,Jack Spades,8 Clubs,Queen Heart,6 Clubs,Nothing in hand
Ace Clubs,10 Diamonds,3 Diamonds,King Diamonds,Jack Diamonds,Nothing in hand
2 Spades,4 Diamonds,King Clubs,5 Heart,King Spades,One pair
2 Heart,9 Spades,Queen Heart,10 Diamonds,Jack Heart,Nothing in hand
3 Heart,Ace Spades,King Diamonds,4 Diamonds,9 Heart,Nothing in hand
6 Diamonds,King Spades,King Clubs,10 Diamonds,Queen Spades,One pair
9 Diamonds,Queen Clubs,10 Clubs,3 Heart,6 Heart,Nothing in hand
7 Clubs,2 Diamonds,5 Clubs,9 Diamonds,5 Spades,One pair
2 Clubs,7 Spades,King Diamonds,Queen Spades,7 Heart,One pair
3 Spades,5 Heart,7 Diamonds,Ace Clubs,8 Diamonds,Nothing in hand
9 Spades,4 Heart,5 Spades,10 Spades,Ace Clubs,Nothing in hand
Ace Diamonds,10 Clubs,10 Spades,5 Heart,Jack Spades,One pair
King Spades,6 Clubs,Jack Heart,3 Diamonds,7 Clubs,Nothing in hand
Jack Clubs,King Diamonds,Ace Heart,King Heart,2 Spades,One pair
Queen Spades,4 Spades,2 Diamonds,7 Spades,Queen Clubs,One pair
2 Heart,2 Clubs,10 Clubs,Jack Spades,Ace Diamonds,One pair
4 Heart,3 Heart,Queen Heart,8 Clubs,King Clubs,Nothing in hand
Jack Clubs,Queen Clubs,4 Diamonds,9 Heart,King Spades,Nothing in hand
10 Spades,9 Diamonds,King Clubs,Queen Heart,7 Spades,Nothing in hand
Jack Clubs,8 Clubs,2 Diamonds,10 Clubs,3 Diamonds,Nothing in hand
10 Spades,3 Clubs,Jack Clubs,4 Heart,7 Spades,Nothing in hand
10 Diamonds,9 Heart,3 Clubs,4 Spades,4 Heart,One pair
Queen Diamonds,10 Diamonds,6 Clubs,6 Spades,King Spades,One pair
Jack Heart,5 Diamonds,King Spades,Queen Clubs,2 Spades,Nothing in hand
6 Diamonds,2 Clubs,10 Diamonds,7 Spades,8 Heart,Nothing in hand
Queen Clubs,Ace Diamonds,King Spades,6 Spades,Ace Spades,One pair
Queen Diamonds,2 Clubs,3 Clubs,King Diamonds,8 Spades,Nothing in hand
Queen Clubs,9 Spades,5 Spades,Queen Spades,10 Diamonds,One pair
5 Spades,2 Spades,8 Spades,6 Clubs,9 Heart,Nothing in hand
2 Diamonds,7 Clubs,4 Clubs,5 Clubs,3 Heart,Nothing in hand
Ace Clubs,7 Clubs,6 Diamonds,3 Spades,10 Clubs,Nothing in hand
10 Diamonds,7 Heart,7 Clubs,6 Spades,4 Spades,One pair
Jack Heart,3 Diamonds,Queen Clubs,4 Heart,6 Heart,Nothing in hand
2 Heart,4 Diamonds,Queen Heart,8 Spades,Ace Diamonds,Nothing in hand
5 Clubs,7 Clubs,Ace Diamonds,9 Diamonds,3 Spades,Nothing in hand
King Spades,5 Clubs,Jack Spades,9 Diamonds,10 Clubs,Nothing in hand
7 Diamonds,3 Spades,Queen Diamonds,10 Spades,2 Spades,Nothing in hand
King Heart,8 Heart,6 Clubs,Jack Heart,7 Spades,Nothing in hand
Queen Clubs,2 Spades,Jack Clubs,3 Clubs,Ace Diamonds,Nothing in hand
King Heart,5 Spades,Queen Clubs,Queen Spades,Ace Clubs,One pair
7 Diamonds,9 Heart,2 Spades,6 Clubs,Ace Clubs,Nothing in hand
8 Clubs,10 Clubs,5 Clubs,Jack Heart,9 Heart,Nothing in hand
8 Heart,7 Clubs,King Clubs,6 Spades,6 Diamonds,One pair
5 Clubs,4 Spades,9 Diamonds,10 Heart,King Spades,Nothing in hand
3 Clubs,2 Spades,10 Clubs,4 Heart,Jack Clubs,Nothing in hand
8 Diamonds,8 Heart,5 Spades,3 Diamonds,Ace Diamonds,One pair
7 Diamonds,5 Spades,Jack Heart,4 Diamonds,5 Diamonds,One pair
4 Spades,4 Heart,7 Heart,8 Clubs,5 Heart,One pair
10 Spades,10 Diamonds,King Spades,6 Spades,6 Heart,Two pairs
9 Clubs,Jack Diamonds,8 Diamonds,4 Heart,King Diamonds,Nothing in hand
7 Clubs,Queen Spades,3 Diamonds,8 Heart,7 Heart,One pair
5 Heart,Ace Heart,3 Diamonds,Queen Spades,Jack Diamonds,Nothing in hand
4 Heart,6 Heart,King Clubs,King Spades,3 Clubs,One pair
3 Clubs,King Spades,4 Spades,7 Diamonds,2 Heart,Nothing in hand
7 Spades,10 Clubs,10 Heart,2 Heart,5 Clubs,One pair
9 Spades,4 Spades,10 Heart,7 Diamonds,7 Spades,One pair
3 Diamonds,8 Diamonds,8 Clubs,Ace Heart,Jack Heart,One pair
7 Clubs,Jack Clubs,5 Diamonds,Queen Diamonds,3 Heart,Nothing in hand
Ace Heart,8 Clubs,4 Spades,10 Diamonds,5 Clubs,Nothing in hand
Queen Spades,2 Clubs,5 Heart,10 Diamonds,10 Heart,One pair
2 Clubs,8 Clubs,7 Clubs,3 Heart,6 Clubs,Nothing in hand
4 Spades,8 Heart,Queen Heart,9 Heart,10 Clubs,Nothing in hand
3 Spades,6 Heart,Queen Spades,6 Diamonds,5 Clubs,One pair
Ace Diamonds,9 Diamonds,King Clubs,5 Heart,7 Diamonds,Nothing in hand
6 Spades,4 Clubs,King Heart,6 Clubs,5 Clubs,One pair
3 Clubs,10 Clubs,8 Spades,7 Heart,10 Diamonds,One pair
10 Diamonds,9 Spades,Ace Heart,Jack Spades,8 Spades,Nothing in hand
6 Clubs,3 Diamonds,7 Diamonds,4 Spades,2 Spades,Nothing in hand
Ace Spades,7 Spades,Queen Heart,8 Clubs,5 Heart,Nothing in hand
5 Clubs,Jack Heart,10 Diamonds,Ace Heart,Ace Diamonds,One pair
Ace Clubs,Jack Clubs,10 Diamonds,9 Spades,2 Diamonds,Nothing in hand
Jack Diamonds,7 Spades,Queen Spades,5 Spades,7 Heart,One pair
Ace Diamonds,6 Clubs,King Clubs,Jack Clubs,Queen Clubs,Nothing in hand
Ace Heart,3 Spades,2 Diamonds,10 Clubs,9 Heart,Nothing in hand
King Heart,Ace Diamonds,10 Spades,6 Spades,Queen Heart,Nothing in hand
10 Spades,Ace Diamonds,9 Diamonds,9 Spades,5 Diamonds,One pair
King Spades,Ace Heart,Queen Spades,7 Heart,7 Spades,One pair
5 Diamonds,8 Heart,Jack Clubs,6 Clubs,3 Spades,Nothing in hand
10 Diamonds,3 Spades,Ace Spades,7 Clubs,10 Clubs,One pair
Jack Clubs,King Spades,8 Spades,Ace Spades,Queen Clubs,Nothing in hand
5 Spades,2 Heart,4 Diamonds,8 Clubs,9 Diamonds,Nothing in hand
Queen Heart,3 Diamonds,2 Spades,4 Spades,8 Spades,Nothing in hand
6 Clubs,10 Spades,Queen Spades,5 Diamonds,Jack Heart,Nothing in hand
Ace Diamonds,Jack Spades,Jack Clubs,King Heart,2 Spades,One pair
4 Spades,7 Spades,4 Clubs,6 Spades,8 Spades,One pair
3 Heart,3 Clubs,4 Clubs,Ace Diamonds,King Clubs,One pair
3 Diamonds,Ace Heart,3 Clubs,King Spades,8 Clubs,One pair
7 Clubs,3 Heart,4 Clubs,Ace Clubs,Jack Diamonds,Nothing in hand
2 Clubs,3 Spades,8 Diamonds,7 Clubs,King Spades,Nothing in hand
5 Clubs,5 Spades,Ace Spades,8 Clubs,King Heart,One pair
9 Clubs,King Diamonds,10 Clubs,2 Spades,7 Heart,Nothing in hand
Queen Spades,9 Spades,Ace Clubs,2 Clubs,Jack Heart,Nothing in hand
10 Heart,9 Diamonds,10 Diamonds,8 Heart,King Clubs,One pair
2 Clubs,4 Clubs,5 Heart,10 Clubs,3 Diamonds,Nothing in hand
3 Heart,10 Clubs,8 Clubs,4 Clubs,King Clubs,Nothing in hand
Queen Diamonds,2 Spades,Jack Clubs,8 Diamonds,Ace Spades,Nothing in hand
6 Heart,Ace Spades,8 Heart,9 Diamonds,5 Heart,Nothing in hand
Ace Spades,9 Spades,9 Diamonds,King Diamonds,8 Spades,One pair
10 Clubs,Jack Heart,Queen Diamonds,5 Clubs,6 Diamonds,Nothing in hand
10 Diamonds,Queen Heart,7 Heart,King Diamonds,Queen Spades,One pair
10 Diamonds,7 Spades,2 Clubs,Queen Diamonds,2 Spades,One pair
7 Spades,9 Clubs,5 Heart,9 Diamonds,6 Diamonds,One pair
4 Spades,2 Spades,5 Spades,Ace Clubs,4 Clubs,One pair
Ace Diamonds,3 Spades,Queen Clubs,King Diamonds,8 Diamonds,Nothing in hand
Queen Heart,8 Spades,2 Spades,Ace Heart,8 Diamonds,One pair
Queen Spades,5 Clubs,10 Diamonds,King Spades,8 Clubs,Nothing in hand
Ace Heart,King Heart,Jack Clubs,King Diamonds,4 Clubs,One pair
2 Clubs,King Heart,6 Spades,7 Spades,Jack Spades,Nothing in hand
8 Diamonds,3 Heart,10 Clubs,Queen Diamonds,Ace Spades,Nothing in hand
2 Diamonds,Jack Diamonds,Queen Heart,King Heart,9 Diamonds,Nothing in hand
King Diamonds,2 Heart,2 Diamonds,9 Heart,Jack Diamonds,One pair
Queen Heart,10 Spades,4 Heart,3 Heart,6 Heart,Nothing in hand
Jack Spades,6 Spades,8 Clubs,7 Clubs,Queen Spades,Nothing in hand
6 Diamonds,Jack Spades,2 Diamonds,10 Diamonds,Jack Heart,One pair
8 Heart,9 Spades,10 Spades,King Clubs,Ace Diamonds,Nothing in hand
8 Clubs,Jack Spades,Queen Spades,3 Diamonds,Jack Clubs,One pair
King Diamonds,3 Heart,7 Spades,8 Heart,8 Clubs,One pair
Jack Heart,Ace Heart,10 Diamonds,9 Clubs,6 Diamonds,Nothing in hand
King Spades,Jack Spades,6 Spades,9 Clubs,4 Diamonds,Nothing in hand
Jack Heart,8 Heart,3 Diamonds,7 Spades,Queen Heart,Nothing in hand
7 Heart,Ace Diamonds,5 Heart,Ace Heart,3 Spades,One pair
Queen Diamonds,7 Spades,4 Clubs,2 Heart,10 Spades,Nothing in hand
10 Clubs,4 Heart,2 Clubs,Jack Spades,Ace Heart,Nothing in hand
4 Heart,Queen Heart,2 Heart,9 Clubs,Queen Spades,One pair
10 Clubs,9 Diamonds,Queen Diamonds,2 Spades,Jack Heart,Nothing in hand
Jack Clubs,Ace Heart,Ace Spades,3 Heart,5 Diamonds,One pair
7 Diamonds,3 Clubs,8 Clubs,10 Diamonds,2 Clubs,Nothing in hand
Ace Diamonds,10 Diamonds,4 Heart,10 Spades,3 Spades,One pair
King Diamonds,4 Spades,9 Spades,3 Spades,3 Diamonds,One pair
Jack Diamonds,10 Spades,Queen Diamonds,3 Heart,10 Heart,One pair
2 Heart,Queen Clubs,6 Diamonds,5 Spades,4 Clubs,Nothing in hand
2 Clubs,4 Diamonds,9 Clubs,Ace Spades,6 Spades,Nothing in hand
7 Spades,3 Spades,King Diamonds,5 Heart,5 Clubs,One pair
9 Spades,8 Clubs,8 Spades,3 Spades,7 Spades,One pair
6 Clubs,Queen Clubs,2 Heart,8 Heart,7 Spades,Nothing in hand
8 Diamonds,King Heart,7 Heart,7 Clubs,King Diamonds,Two pairs
9 Diamonds,King Heart,8 Clubs,9 Clubs,6 Heart,One pair
Jack Heart,10 Heart,10 Clubs,King Diamonds,King Heart,Two pairs
Jack Heart,10 Heart,3 Diamonds,6 Clubs,4 Diamonds,Nothing in hand
9 Diamonds,Ace Diamonds,10 Heart,5 Clubs,4 Diamonds,Nothing in hand
Queen Clubs,Ace Diamonds,Ace Spades,Jack Heart,Jack Clubs,Two pairs
2 Clubs,8 Heart,6 Spades,10 Spades,8 Diamonds,One pair
7 Clubs,7 Diamonds,9 Clubs,3 Clubs,10 Clubs,One pair
Queen Heart,4 Clubs,9 Spades,6 Diamonds,Ace Diamonds,Nothing in hand
7 Diamonds,7 Spades,4 Diamonds,6 Diamonds,3 Heart,One pair
6 Clubs,9 Spades,7 Clubs,8 Heart,8 Diamonds,One pair
Queen Clubs,3 Heart,3 Diamonds,7 Clubs,10 Diamonds,One pair
Jack Heart,6 Spades,3 Spades,Queen Clubs,Jack Clubs,One pair
8 Diamonds,6 Diamonds,Jack Spades,5 Diamonds,4 Spades,Nothing in hand
4 Diamonds,Jack Spades,9 Heart,Ace Spades,8 Diamonds,Nothing in hand
5 Spades,4 Heart,2 Clubs,10 Clubs,6 Heart,Nothing in hand
3 Clubs,5 Diamonds,Queen Spades,2 Heart,4 Clubs,Nothing in hand
6 Diamonds,King Spades,9 Diamonds,King Heart,10 Heart,One pair
Jack Spades,6 Diamonds,7 Clubs,2 Diamonds,Jack Diamonds,One pair
Ace Heart,5 Spades,10 Diamonds,4 Heart,6 Heart,Nothing in hand
10 Diamonds,8 Heart,6 Heart,Ace Clubs,2 Spades,Nothing in hand
6 Heart,4 Heart,Ace Heart,Jack Clubs,King Spades,Nothing in hand
9 Spades,4 Spades,King Heart,3 Heart,2 Diamonds,Nothing in hand
Ace Diamonds,9 Spades,8 Spades,6 Spades,Ace Heart,One pair
6 Clubs,9 Heart,8 Diamonds,Ace Clubs,Jack Clubs,Nothing in hand
7 Diamonds,4 Heart,2 Spades,2 Diamonds,Queen Spades,One pair
7 Spades,King Spades,10 Diamonds,9 Heart,10 Heart,One pair
9 Clubs,2 Spades,Jack Heart,Queen Spades,Jack Diamonds,One pair
3 Spades,4 Diamonds,8 Spades,4 Clubs,Queen Diamonds,One pair
8 Spades,6 Heart,6 Spades,7 Spades,King Diamonds,One pair
Ace Heart,Queen Heart,3 Clubs,6 Clubs,Ace Diamonds,One pair
Queen Spades,Jack Clubs,3 Spades,Ace Diamonds,King Diamonds,Nothing in hand
10 Clubs,5 Heart,7 Diamonds,9 Clubs,9 Heart,One pair
9 Clubs,King Spades,3 Heart,6 Spades,5 Diamonds,Nothing in hand
5 Heart,3 Clubs,Queen Clubs,5 Diamonds,King Spades,One pair
9 Clubs,Queen Heart,Ace Clubs,4 Heart,Ace Diamonds,One pair
8 Heart,8 Spades,7 Heart,Queen Heart,4 Spades,One pair
5 Clubs,2 Diamonds,7 Spades,9 Heart,Queen Clubs,Nothing in hand
8 Heart,2 Spades,3 Spades,2 Clubs,7 Spades,One pair
3 Heart,King Spades,4 Diamonds,5 Clubs,5 Heart,One pair
4 Clubs,3 Spades,Queen Diamonds,10 Heart,10 Diamonds,One pair
4 Clubs,8 Spades,Queen Clubs,4 Heart,2 Diamonds,One pair
King Diamonds,2 Spades,King Clubs,6 Clubs,2 Diamonds,Two pairs
10 Clubs,3 Clubs,6 Clubs,Ace Clubs,King Spades,Nothing in hand
10 Diamonds,7 Diamonds,8 Heart,5 Diamonds,Jack Spades,Nothing in hand
8 Clubs,5 Diamonds,6 Clubs,2 Clubs,7 Clubs,Nothing in hand
Queen Clubs,7 Clubs,4 Spades,King Diamonds,Jack Diamonds,Nothing in hand
9 Heart,8 Clubs,3 Heart,King Diamonds,Queen Heart,Nothing in hand
6 Clubs,7 Heart,9 Clubs,10 Spades,Jack Clubs,Nothing in hand
7 Spades,4 Heart,Queen Heart,King Heart,4 Clubs,One pair
10 Clubs,9 Spades,4 Spades,King Clubs,9 Diamonds,One pair
10 Spades,Ace Clubs,2 Heart,Queen Clubs,4 Clubs,Nothing in hand
2 Heart,10 Spades,Ace Clubs,2 Spades,5 Clubs,One pair
8 Spades,Jack Clubs,5 Spades,5 Clubs,2 Clubs,One pair
King Heart,Queen Diamonds,Queen Spades,9 Heart,Queen Clubs,Three of a kind
6 Heart,5 Clubs,8 Diamonds,King Spades,2 Clubs,Nothing in hand
2 Diamonds,Jack Diamonds,Ace Heart,7 Clubs,2 Clubs,One pair
7 Spades,Ace Heart,6 Spades,10 Diamonds,8 Clubs,Nothing in hand
7 Diamonds,2 Clubs,8 Clubs,King Heart,Ace Heart,Nothing in hand
7 Clubs,King Spades,2 Clubs,Queen Diamonds,5 Clubs,Nothing in hand
4 Diamonds,King Heart,8 Diamonds,5 Diamonds,3 Heart,Nothing in hand
Queen Spades,4 Clubs,6 Clubs,Queen Heart,9 Heart,One pair
Ace Clubs,King Heart,7 Heart,King Diamonds,Jack Diamonds,One pair
10 Heart,10 Spades,2 Clubs,6 Spades,4 Clubs,One pair
Queen Clubs,4 Spades,Jack Heart,King Clubs,6 Clubs,Nothing in hand
Jack Heart,9 Diamonds,3 Spades,6 Clubs,Ace Clubs,Nothing in hand
5 Heart,7 Heart,7 Clubs,King Heart,Jack Diamonds,One pair
10 Diamonds,2 Heart,Queen Clubs,6 Clubs,5 Diamonds,Nothing in hand
2 Diamonds,4 Heart,Queen Diamonds,10 Heart,8 Diamonds,Nothing in hand
3 Spades,King Heart,4 Heart,King Spades,8 Clubs,One pair
Ace Heart,King Heart,Ace Clubs,6 Spades,10 Clubs,One pair
6 Heart,King Heart,Jack Diamonds,6 Diamonds,2 Heart,One pair
8 Diamonds,Queen Heart,9 Spades,2 Heart,5 Spades,Nothing in hand
Jack Heart,King Heart,9 Clubs,7 Heart,King Diamonds,One pair
6 Heart,2 Clubs,9 Clubs,7 Heart,5 Spades,Nothing in hand
Ace Heart,10 Clubs,6 Clubs,3 Spades,4 Diamonds,Nothing in hand
7 Clubs,Queen Clubs,3 Spades,5 Clubs,6 Spades,Nothing in hand
6 Heart,Ace Diamonds,Jack Heart,2 Heart,5 Clubs,Nothing in hand
3 Clubs,Queen Spades,Queen Clubs,King Heart,10 Diamonds,One pair
10 Clubs,4 Spades,5 Spades,3 Heart,King Clubs,Nothing in hand
7 Spades,3 Heart,Ace Heart,7 Heart,3 Spades,Two pairs
Queen Diamonds,2 Diamonds,5 Heart,Ace Spades,8 Heart,Nothing in hand
8 Heart,Queen Heart,10 Spades,2 Heart,7 Diamonds,Nothing in hand
Queen Clubs,Jack Spades,Jack Clubs,9 Heart,Jack Diamonds,Three of a kind
4 Heart,6 Spades,King Heart,10 Clubs,7 Heart,Nothing in hand
7 Heart,King Spades,Queen Spades,Ace Heart,9 Spades,Nothing in hand
3 Heart,5 Diamonds,Ace Heart,4 Spades,8 Diamonds,Nothing in hand
Ace Clubs,5 Spades,Queen Clubs,6 Spades,9 Diamonds,Nothing in hand
5 Heart,9 Clubs,3 Diamonds,7 Clubs,8 Diamonds,Nothing in hand
9 Diamonds,Queen Heart,7 Diamonds,Queen Clubs,9 Spades,Two pairs
2 Clubs,4 Diamonds,Ace Heart,10 Diamonds,8 Clubs,Nothing in hand
7 Diamonds,Queen Diamonds,Queen Heart,3 Clubs,4 Clubs,One pair
3 Spades,7 Clubs,7 Heart,King Heart,7 Diamonds,Three of a kind
3 Heart,King Spades,5 Spades,10 Diamonds,7 Diamonds,Nothing in hand
4 Clubs,9 Clubs,7 Heart,9 Heart,5 Clubs,One pair
9 Clubs,7 Clubs,9 Heart,7 Diamonds,5 Clubs,Two pairs
4 Heart,7 Heart,7 Diamonds,3 Heart,King Heart,One pair
